Oxygen supply type,Manufacturer,Model,lpm,cbh,Height (meters),Width (meters),Link,
,I don't know,,,,,,,
Liquid Oxygen,Pneumatech,"3,1",2945,2535645.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,"3,7",3515,3026415.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,"4,8",4560,3926160.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,"5,3",5035,4335135.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,"6,4",6080,5234880.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,"7,0",6555,5643855.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,"9,7",9215,7934115.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,11,10355,8915655.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,16,14820,12760020.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,20,19285,16604385.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,23,21565,18567465.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,12,11495,9897195.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,28,27075,23311575.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,32,30210,26010810.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,35,33345,28710045.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,41,39520,34026720.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,45,43130,37134930.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,50,47975,41306475.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,55,52820,45478020.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,60,57760,49731360.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,65,62605,53902905.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,75,72390,62327790.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
Liquid Oxygen,Pneumatech,81,77235,66499335.0,,,,https://acprodbponlinebcc5.blob.core.windows.net/bp-public-files/bp_editor_div_mgs/SalesMarketing/PMGS_LOX_Storage_Tank_HTM_Technical_Datasheet_EN_8102341148.pdf,
